Rel.cont	Group	OTU_ID
0.003198425	Rel.cont.L	OTU_32
0.013839057	Rel.cont.L	OTU_32
0.015974441	Rel.cont.L	OTU_32
0.015725102	Rel.cont.L	OTU_32
0.024210526	Rel.cont.L	OTU_32
0.000118042	Region.P.Rel.cont	OTU_32
0.000128025	Region.P.Rel.cont	OTU_32
0.001914193	Region.P.Rel.cont	OTU_32
0.001005482	Region.P.Rel.cont	OTU_32
0.002764557	Region.P.Rel.cont	OTU_32
0.000310893	Region.P.Rel.cont	OTU_32
0.000175454	Region.P.Rel.cont	OTU_32
0.001563896	Region.P.Rel.cont	OTU_32
0.000374111	Region.P.Rel.cont	OTU_32
0.000100594	Region.P.Rel.cont	OTU_32
0.003144654	Region.P.Rel.cont	OTU_32
0.000436167	Region.S.Rel.cont	OTU_32
0.000365097	Region.S.Rel.cont	OTU_32
0.000117558	Region.S.Rel.cont	OTU_32
0.000499569	Region.S.Rel.cont	OTU_32
0.00028169	Region.S.Rel.cont	OTU_32
0.000309349	Region.S.Rel.cont	OTU_32
0.000271323	Region.S.Rel.cont	OTU_32
0.000156274	Region.S.Rel.cont	OTU_32
0.000147345	Region.S.Rel.cont	OTU_32
0.000606351	Region.S.Rel.cont	OTU_32
0.000553097	Region.S.Rel.cont	OTU_32
0.000163961	Region.S.Rel.cont	OTU_32
0.000136663	Region.S.Rel.cont	OTU_32
0.000141779	Region.S.Rel.cont	OTU_32
0.000158441	Region.S.Rel.cont	OTU_32
0.000436479	Region.S.Rel.cont	OTU_32
0.00010182	Region.S.Rel.cont	OTU_32
0.000448488	Region.S.Rel.cont	OTU_32
0.000412712	Region.S.Rel.cont	OTU_32
0.000318195	Region.S.Rel.cont	OTU_32
0.000380916	Region.S.Rel.cont	OTU_32
0.000651519	Region.S.Rel.cont	OTU_32
0.003266113	Region.S.Rel.cont	OTU_32
0.000286434	Region.S.Rel.cont	OTU_32
0.000360284	Region.S.Rel.cont	OTU_32
0.000329084	Region.S.Rel.cont	OTU_32
0.000216632	Region.S.Rel.cont	OTU_32
2.49E-05	Region.S.Rel.cont	OTU_32
4.46E-05	Region.S.Rel.cont	OTU_32
0.001517202	Rel.cont.L	OTU_66
0.01465061	Rel.cont.L	OTU_66
0.02076677	Rel.cont.L	OTU_66
0.01936517	Rel.cont.L	OTU_66
0.01473684	Rel.cont.L	OTU_66
0.00010209	Region.P.Rel.cont	OTU_66
5.70E-05	Region.P.Rel.cont	OTU_66
7.17E-05	Region.P.Rel.cont	OTU_66
0.000374112	Region.P.Rel.cont	OTU_66
5.82E-05	Region.S.Rel.cont	OTU_66
1.30E-05	Region.S.Rel.cont	OTU_66
3.36E-05	Region.S.Rel.cont	OTU_66
1.51E-05	Region.S.Rel.cont	OTU_66
5.63E-05	Region.S.Rel.cont	OTU_66
9.28E-05	Region.S.Rel.cont	OTU_66
4.79E-05	Region.S.Rel.cont	OTU_66
0.09283635	Rel.cont.L	OTU_94
0.6099009	Rel.cont.L	OTU_94
0.000337041	Rel.cont.L	OTU_94
0.5958466	Rel.cont.L	OTU_94
0.8271112	Rel.cont.L	OTU_94
0.8042105	Rel.cont.L	OTU_94
0.00080943	Region.P.Rel.cont	OTU_94
0.001987018	Region.P.Rel.cont	OTU_94
0.000256049	Region.P.Rel.cont	OTU_94
0.008371405	Region.P.Rel.cont	OTU_94
0.001651864	Region.P.Rel.cont	OTU_94
0.004560093	Region.P.Rel.cont	OTU_94
0.00442425	Region.P.Rel.cont	OTU_94
0.000175454	Region.P.Rel.cont	OTU_94
0.01198987	Region.P.Rel.cont	OTU_94
0.002494077	Region.P.Rel.cont	OTU_94
0.000331153	Region.P.Rel.cont	OTU_94
0.001517451	Region.P.Rel.cont	OTU_94
0.002369841	Region.S.Rel.cont	OTU_94
0.001030094	Region.S.Rel.cont	OTU_94
0.001528256	Region.S.Rel.cont	OTU_94
0.001862028	Region.S.Rel.cont	OTU_94
0.001577465	Region.S.Rel.cont	OTU_94
0.002211842	Region.S.Rel.cont	OTU_94
0.00191522	Region.S.Rel.cont	OTU_94
0.00011062	Region.S.Rel.cont	OTU_94
5.28E-05	Region.S.Rel.cont	OTU_94
2.73E-05	Region.S.Rel.cont	OTU_94
6.87E-05	Region.S.Rel.cont	OTU_94
