SampleID,Source,reads_ChloroplastExcluded,richness,shannon_e
L_CMX20210729_005,Larva,55799,364,2.63
L_CMX20210729_007,Larva,13336,345,2.26
L_CMX20210729_010,Larva,42883,331,2.05
L_CMX20210729_011,Larva,51080,232,0.415
L_CMX20210729_013,Larva,52662,363,1.79
L_CMX20210729_014,Larva,15707,68,0.164
L_CMX20210729_015,Larva,11025,354,2.61
L_CMX20210730_002,Larva,78228,349,2.41
L_CMX20210730_003,Larva,38264,551,2.34
L_CMX20210730_004,Larva,32006,160,1.02
L_CMX20210730_005,Larva,48521,196,1.01
L_CMX20210730_018,Larva,3561,121,1.41
L_CMX20210730_019,Larva,6315,164,1.87
L_CMX20210730_020,Larva,8514,367,2.25
L_CMX20210730_022,Larva,31593,118,0.67
L_CMX20210730_023,Larva,17775,134,1.3
L_CMX20210730_024,Larva,19212,301,1.51
L_CMX20210730_026,Larva,6252,406,3.56
L_CMX20210730_028,Larva,6599,148,1.29
L_CMX20210731_001,Larva,25253,173,0.733
L_CMX20210731_002,Larva,13035,96,1.12
L_CMX20210731_005,Larva,11651,99,0.674
L_CMX20210731_010,Larva,26106,107,1.28
L_CMX20210731_012,Larva,41950,111,0.957
L_CMX20210801_008,Larva,11695,129,0.674
L_CMX20210802_013,Larva,44669,501,3.1
L_CMX20210803_003,Larva,12351,157,2.81
L_CMX20210803_005,Larva,9756,194,1.34
L_CMX20210803_010,Larva,36663,244,1.69
L_CMX20210803_014,Larva,28848,53,0.667
L_CMX20210803_015,Larva,7764,284,2.64
L_CMX20210803_016,Larva,10023,67,0.516
L_CMX20210803_017,Larva,18698,240,0.601
L_CMX20210803_018,Larva,47321,292,3.27
L_CMX20210803_019,Larva,31924,228,2.57
L_CMX20210804_001,Larva,14378,176,1.62
L_CMX20210804_002,Larva,44738,234,0.926
L_CMX20210804_003,Larva,3786,157,1.53
L_CMX20210804_005,Larva,7794,296,1.53
L_CMX20210804_006,Larva,15539,217,1.87
L_CMX20210804_013,Larva,37595,462,2.01
L_CMX20210804_014,Larva,11789,243,1.47
