KEGGID,Description,GeneRatio,BgRatio,pvalue,padj,geneID,geneName,keggID,Count,Label,#-Log10(Pvalue),GeneRatio2
bmor01230,Biosynthesis of amino acids,27/481,83/4087,3.56801166171844e-07,4.35297422729649e-05,118266683/118264377/118274074/118273982/118277790/118275034/118272420/118273974/118268504/118272402/118275912/118275914/118281110/118268821/118275916/118275028/118262062/118266707/118263025/118262324/118265511/118275910/118268310/118282360/118275915/118268595/118270712,LOC118266683/LOC118264377/LOC118274074/LOC118273982/LOC118277790/LOC118275034/LOC118272420/LOC118273974/LOC118268504/LOC118272402/LOC118275912/LOC118275914/LOC118281110/LOC118268821/LOC118275916/LOC118275028/LOC118262062/LOC118266707/LOC118263025/LOC118262324/LOC118265511/LOC118275910/LOC118268310/LOC118282360/LOC118275915/LOC118268595/LOC118270712,bmor:101743306/bmor:692975/bmor:733021/bmor:692963/bmor:692848/bmor:692801/bmor:101747023/bmor:101738265/bmor:692964/bmor:101746890/bmor:101741102/bmor:101740961/bmor:101740956/bmor:101742825/bmor:101741659/bmor:692801/bmor:101735436/bmor:101741446/bmor:101737917/bmor:692793/bmor:101746807/bmor:101741242/bmor:101741940/bmor:692995/bmor:101740961/bmor:101742086/bmor:101738188,27,down,4.361213904,0.056133056
bmor04512,ECM-receptor interaction,13/481,26/4087,1.7329833434859e-06,0.00010571198395264,118274261/118265565/118273020/118265563/118269703/118274390/118263853/118261874/118267024/118266846/118268268/118279545/118263280,LOC118274261/LOC118265565/LOC118273020/LOC118265563/LOC118269703/LOC118274390/LOC118263853/LOC118261874/LOC118267024/LOC118266846/LOC118268268/LOC118279545/LOC118263280,bmor:101745246/bmor:101746113/bmor:101736620/bmor:101746113/bmor:101741524/bmor:101745246/bmor:101742998/bmor:101746961/bmor:101743745/bmor:101737265/bmor:101742903/bmor:101743808/bmor:692392,13,down,3.975875776,0.027027027
bmor00670,One carbon pool by folate,14/481,32/4087,5.1111463039232e-06,0.00020785328302621,118268174/118268856/118263254/118264377/118268814/118281669/118275034/118278202/118275625/118263297/118275028/118280064/118262774/118279912,LOC118268174/LOC118268856/LOC118263254/LOC118264377/LOC118268814/LOC118281669/LOC118275034/LOC118278202/LOC118275625/LOC118263297/LOC118275028/LOC118280064/LOC118262774/LOC118279912,bmor:101741082/bmor:101743217/bmor:101738705/bmor:692975/bmor:101744981/bmor:101736065/bmor:692801/bmor:101744428/bmor:101743494/bmor:101738705/bmor:692801/bmor:101745190/bmor:101743034/bmor:101737039,14,down,3.682243111,0.029106029
bmor00260,"Glycine, serine and threonine metabolism",18/481,51/4087,9.22189878822299e-06,0.000281267913040801,118268856/118263254/118264377/118281669/118275034/118278202/118269183/118268504/118275912/118263297/118275914/118275916/118275028/118269184/118274021/118262774/118275910/118275915,LOC118268856/LOC118263254/LOC118264377/LOC118281669/LOC118275034/LOC118278202/LOC118269183/LOC118268504/LOC118275912/LOC118263297/LOC118275914/LOC118275916/LOC118275028/LOC118269184/LOC118274021/LOC118262774/LOC118275910/LOC118275915,bmor:101743217/bmor:101738705/bmor:692975/bmor:101736065/bmor:692801/bmor:101744428/bmor:101737836/bmor:692964/bmor:101741102/bmor:101738705/bmor:101740961/bmor:101741659/bmor:692801/bmor:101737836/bmor:101737288/bmor:101743034/bmor:101741242/bmor:101740961,18,down,3.550879809,0.037422037
bmor00250,"Alanine, aspartate and glutamate metabolism",16/481,43/4087,1.34701213712056e-05,0.000328670961457417,118266683/118262525/118272420/118273974/118264826/118269183/118272402/118264822/118262366/118269821/118269184/118262062/118266707/118263025/118282360/118269835,LOC118266683/LOC118262525/LOC118272420/LOC118273974/LOC118264826/LOC118269183/LOC118272402/LOC118264822/LOC118262366/LOC118269821/LOC118269184/LOC118262062/LOC118266707/LOC118263025/LOC118282360/LOC118269835,bmor:101743306/bmor:101744993/bmor:101747023/bmor:101738265/bmor:101737927/bmor:101737836/bmor:101746890/bmor:101737927/bmor:101744993/bmor:692939/bmor:101737836/bmor:101735436/bmor:101741446/bmor:101737917/bmor:692995/bmor:692939,16,down,3.483238665,0.033264033
bmor01200,Carbon metabolism,35/481,148/4087,2.76074140296061e-05,0.000561350751935323,118268856/118264377/118274074/118281669/118263143/118273982/118277790/118278202/118272420/118269183/118268504/118272402/118277306/118275912/118275914/118281110/118275916/118269821/118269184/118281612/118271139/118267177/118263507/118275910/118271860/118268310/118264961/118275915/118270754/118269578/118269835/118263543/118262085/118268595/118275383,LOC118268856/LOC118264377/LOC118274074/LOC118281669/LOC118263143/LOC118273982/LOC118277790/LOC118278202/LOC118272420/LOC118269183/LOC118268504/LOC118272402/LOC118277306/LOC118275912/LOC118275914/LOC118281110/LOC118275916/LOC118269821/LOC118269184/LOC118281612/LOC118271139/LOC118267177/LOC118263507/LOC118275910/LOC118271860/LOC118268310/LOC118264961/LOC118275915/LOC118270754/LOC118269578/LOC118269835/LOC118263543/LOC118262085/LOC118268595/LOC118275383,bmor:101743217/bmor:692975/bmor:733021/bmor:101736065/bmor:101745562/bmor:692963/bmor:692848/bmor:101744428/bmor:101747023/bmor:101737836/bmor:692964/bmor:101746890/bmor:778462/bmor:101741102/bmor:101740961/bmor:101740956/bmor:101741659/bmor:692939/bmor:101737836/bmor:101740919/bmor:101744970/bmor:101737329/bmor:101746906/bmor:101741242/bmor:101740981/bmor:101741940/bmor:101739338/bmor:101740961/bmor:101744386/bmor:100101182/bmor:692939/bmor:101739338/bmor:101746722/bmor:101742086/bmor:101740619,35,down,3.250765691,0.072765073
bmor00220,Arginine biosynthesis,12/481,30/4087,7.22945718216112e-05,0.00125999110889094,118266683/118272420/118273974/118272402/118269821/118262062/118266707/118263025/118262324/118265511/118269835/118270712,LOC118266683/LOC118272420/LOC118273974/LOC118272402/LOC118269821/LOC118262062/LOC118266707/LOC118263025/LOC118262324/LOC118265511/LOC118269835/LOC118270712,bmor:101743306/bmor:101747023/bmor:101738265/bmor:101746890/bmor:692939/bmor:101735436/bmor:101741446/bmor:101737917/bmor:692793/bmor:101746807/bmor:692939/bmor:101738188,12,down,2.899632519,0.024948025
bmor00630,Glyoxylate and dicarboxylate metabolism,16/481,57/4087,0.00060851100481039,0.00927979282335844,118268856/118264377/118281669/118263143/118278202/118273974/118269183/118262952/118281110/118269184/118262062/118266707/118263507/118271860/118262085/118262960,LOC118268856/LOC118264377/LOC118281669/LOC118263143/LOC118278202/LOC118273974/LOC118269183/LOC118262952/LOC118281110/LOC118269184/LOC118262062/LOC118266707/LOC118263507/LOC118271860/LOC118262085/LOC118262960,bmor:101743217/bmor:692975/bmor:101736065/bmor:101745562/bmor:101744428/bmor:101738265/bmor:101737836/bmor:101745043/bmor:101740956/bmor:101737836/bmor:101735436/bmor:101741446/bmor:101746906/bmor:101740981/bmor:101746722/bmor:101745043,16,down,2.03246172,0.033264033
bmor04814,Motor proteins,29/481,137/4087,0.000985875991510287,0.0133640967738061,novel.365/118275396/118270062/118268473/118280575/118278014/novel.366/118263352/118277467/novel.364/118271598/118282029/118279629/118263402/118281144/118273159/118261873/118270489/118273263/118280967/118278720/118261947/118280826/118269231/118273262/118276114/118266155/118264334/118278486,-/LOC118275396/LOC118270062/LOC118268473/LOC118280575/LOC118278014/-/LOC118263352/LOC118277467/-/LOC118271598/LOC118282029/LOC118279629/LOC118263402/LOC118281144/LOC118273159/LOC118261873/LOC118270489/LOC118273263/LOC118280967/LOC118278720/LOC118261947/LOC118280826/LOC118269231/LOC118273262/LOC118276114/LOC118266155/LOC118264334/LOC118278486,bmor:101737198/bmor:101739780/bmor:101736752/bmor:692429/bmor:101744975/bmor:101736491/bmor:101737198/bmor:101743227/bmor:101742280/bmor:101737198/bmor:101738267/bmor:101743647/bmor:101736113/bmor:101743227/bmor:692428/bmor:101737161/bmor:692430/bmor:101743647/bmor:101743082/bmor:101744447/bmor:732868/bmor:692430/bmor:101744447/bmor:101736752/bmor:101743082/bmor:101745769/bmor:101745308/bmor:101736462/bmor:101744080,29,down,1.874060388,0.06029106
bmor04981,Folate transport and metabolism,8/481,22/4087,0.002471550073237,0.0295769287466117,118280391/118264377/118280309/118263137/118280411/118262414/118275625/118280064,LOC118280391/LOC118264377/LOC118280309/LOC118263137/LOC118280411/LOC118262414/LOC118275625/LOC118280064,bmor:101739554/bmor:692975/bmor:101739554/bmor:101736234/bmor:101739554/bmor:101744514/bmor:101743494/bmor:101745190,8,down,1.529046925,0.016632017
