OTU_ID,Occurrence_of_OTU_in_plant_samples(%),Average_relative_OTU_content_in_plant_samples(%),Occurrence_of_OTU_in_soil_samples(%),Average_relative_OTU_content_in_soil_samples(%),Log10_Average_relative_OTU_content_in_plant_samples,Log10_Average_relative_OTU_content_in_soil_samples
OTU_1083,23.07692308,0.026810762,0,0,-1.571690835,NA
OTU_1084,0,0,0,0,NA,NA
OTU_1085,7.692307692,0.012515784,12.90322581,0.001892522,-1.902541941,-2.722959063
OTU_1086,2.564102564,0.020424837,12.90322581,0.00362382,-1.689841401,-2.440833412
OTU_1087,0,0,64.51612903,0.058255024,NA,-1.234666616
OTU_1089,0,0,0,0,NA,NA
OTU_1090,38.46153846,0.045157,25.80645161,0.004219908,-1.345274921,-2.374697017
OTU_1091,12.82051282,0.020321868,0,0,-1.692036374,NA
OTU_1095,5.128205128,0.038559925,54.83870968,0.038678383,-1.413863819,-1.412531691
OTU_1096,2.564102564,0.006937218,80.64516129,0.059553729,-2.158814658,-1.225091042
OTU_1098,0,0,74.19354839,0.035436775,NA,-1.450545805
OTU_1099,0,0,83.87096774,0.077335806,NA,-1.111619385
OTU_110,69.23076923,0.081160876,3.225806452,0.004142559,-1.090653272,-2.382731297
OTU_1100,2.564102564,0.002614721,93.5483871,0.072515452,-2.582574645,-1.139569444
OTU_1101,2.564102564,0.010265886,96.77419355,0.042695973,-1.988603563,-1.369613086
OTU_1102,0,0,83.87096774,0.084840841,NA,-1.071395033
OTU_1104,0,0,74.19354839,0.098715369,NA,-1.005615227
OTU_1105,0,0,64.51612903,0.041354212,NA,-1.383480254
OTU_1106,0,0,6.451612903,0.004764464,NA,-2.321985996
OTU_1107,2.564102564,0.003135681,96.77419355,0.05796213,-2.503668126,-1.236855665
OTU_1108,0,0,54.83870968,0.028393371,NA,-1.546783048
OTU_1109,10.25641026,0.008135005,74.19354839,0.020610489,-2.089642176,-1.685911714
OTU_111,53.84615385,2.171310348,3.225806452,0.002063089,0.336721902,-2.685482037
