OTU_ID,Occurrence_of_OTU_in_plant_samples(%),Average_relative_OTU_content_in_plant_samples(%),Occurrence_of_OTU_in_soil_samples(%),Average_relative_OTU_content_in_soil_samples(%),Log10_Average_relative_OTU_content_in_plant_samples,Log10_Average_relative_OTU_content_in_soil_samples
OTU_1051,2.739726027,0.009130616,1.886792453,0.005730659,-2.039499945,-2.241795433
OTU_1053,57.53424658,0.08097963,49.05660377,0.010070371,-1.091624213,-1.996954543
OTU_1054,2.739726027,0.039162009,96.22641509,0.029820891,-1.407135037,-1.525479387
OTU_1055,0,0,24.52830189,0.013018641,NA,-1.885434362
OTU_1056,4.109589041,0.01608196,71.69811321,0.007719646,-1.793661022,-2.112402631
OTU_1057,0,0,50.94339623,0.014225795,NA,-1.846923461
OTU_1058,32.87671233,0.112915593,75.47169811,0.015823682,-0.947246079,-1.800692464
OTU_106,1.369863014,0.01717033,11.32075472,0.029619785,-1.765221358,-1.528418096
OTU_1060,0,0,3.773584906,0.002246641,NA,-2.648466416
OTU_1061,0,0,66.03773585,0.046712947,NA,-1.330562729
OTU_1062,0,0,79.24528302,0.063882721,NA,-1.194616594
OTU_1064,1.369863014,0.132717389,0,0,-0.877072171,NA
OTU_1066,0,0,0,0,NA,NA
OTU_1067,19.17808219,0.376547088,11.32075472,0.025207189,-0.424180707,-1.598475579
OTU_1068,0,0,1.886792453,0.005322688,NA,-2.27386899
OTU_1069,15.06849315,0.0176298,83.01886792,0.020957376,-1.753752603,-1.678663092
OTU_107,6.849315068,0.005610898,18.86792453,0.002126189,-2.250967657,-2.672398235
OTU_1070,0,0,15.09433962,0.002275785,NA,-2.642868746
OTU_1071,34.24657534,0.133657633,1.886792453,0.00262743,-0.874006234,-2.580468846
OTU_1072,0,0,62.26415094,0.016949072,NA,-1.770854083
OTU_1073,0,0,75.47169811,0.085783875,NA,-1.066594338
OTU_1074,0,0,0,0,NA,NA
OTU_1075,0,0,45.28301887,0.011523402,NA,-1.9384193
