Insect_Species2,LarvaeLength_mm,Plant_Species2,Color
P.bicornuta,11.2,P.armeniaca,A
C.ochreimacula,15.88,P.avium,A
C.ochreimacula,16.1,P.avium,A
K.yamadai,78.84,Q.acutissima,A
K.yamadai,70.33,Q.dentata,A
L.nobilis,77.77,Q.dentata,A
D.contracta,40.5,Q.dentata,A
D.contracta,19.82,Q.dentata,A
D.contracta,16.25,Q.dentata,A
D.contracta,50.25,O.delavayi,A
L.nobilis,84.06,Q.acutissima,A
D.contracta,42.97,Q.acutissima,A
D.contracta,21.01,Q.acutissima,A
D.contracta,34.98,Q.acutissima,A
D.contracta,22.7,Q.acutissima,A
D.contracta,41.82,Q.acutissima,A
P.bicornuta,11.61,F.funiushanensis,A
C.ochreimacula,26.55,A.wilsonii,A
C.ochreimacula,14.39,Citrus_sinensis,A
C.ochreimacula,17.83,Citrus_sinensis,A
C.ochreimacula,18.24,D.kaki,A
P.bicornuta,11.52,P.kansuensis,A
K.yamadai,55.38,P.fraseri,A
L.nobilis,73.39,Q.dentata,A
D.contracta,45.15,Q.dentata,A
P.bicornuta,12.77,P.kansuensis,A
N.flavidorsalis,24.096,ZZZZZZZ,B
S.scintillans,20.8704,ZZZZZZZ,B
L.nobilis,80.544,ZZZZZZZ,B
K.yamadai,81.7152,ZZZZZZZ,B
A.strigosa,33.024,ZZZZZZZ,B
P.consocia,39.6864,ZZZZZZZ,B
D.contracta,36.0576,ZZZZZZZ,B
P.sinica,21.12,ZZZZZZZ,B
P.bicornuta,23.0784,ZZZZZZZ,B
C.ochreimacula,54.4512,ZZZZZZZ,B
P.flavescens,46.1568,ZZZZZZZ,B
X.c-nigrum,30.3936,ZZZZZZZ,B
L.flavalis,21.2544,ZZZZZZZ,B
A.protosema,12.5184,ZZZZZZZ,B
T.pseudoberyllica,NA,ZZZZZZZ,B
N.shinoharai,NA,ZZZZZZZ,B
L.muscosalis,34.6368,ZZZZZZZ,B
H.armigera,29.2608,ZZZZZZZ,B
E.miliaris,NA,ZZZZZZZ,B
A.pullata,NA,ZZZZZZZ,B
A.AH03Ch,26.8992,ZZZZZZZ,B
A.latifasciata,31.8912,ZZZZZZZ,B
